年份,縣市,鄉鎮市區,里別,商圈分類,是否為金三角商圈,是否為東大門周邊,有效營利事業累計家數,該年新設立營利事業家數,開立統一發票店家數,發票店家佔比(%),登記資本總額(元),平均資本額(元),代表行業類別,推估年度銷售額(千元)
2015,花蓮縣,花蓮市,主力里,金三角商圈,是,否,178,13,105,58.99,403058000,2264370,居家修繕用品零售,2632040.43
2015,花蓮縣,花蓮市,主勤里,金三角商圈,是,否,78,5,39,50.0,80257000,1028935,未分類其他服飾品零售,898562.6
2015,花蓮縣,花蓮市,主商里,金三角與東大門核心交會區,是,是,94,2,44,46.81,1113851000,11849478,金（銀）飾零售,2178549.21
2015,花蓮縣,花蓮市,主學里,金三角商圈,是,否,94,2,42,44.68,156046000,1660063,麵店、小吃店,1046923.18
2015,花蓮縣,花蓮市,主安里,金三角商圈,是,否,89,7,43,48.31,261739000,2940887,麵店、小吃店,1187926.92
2015,花蓮縣,花蓮市,主工里,金三角與東大門核心交會區,是,是,78,2,38,48.72,217313000,2786064,麵店、小吃店,1033870.23
2015,花蓮縣,花蓮市,主計里,金三角商圈,是,否,65,5,25,38.46,173241000,2665246,水產品零售,714635.08
2015,花蓮縣,花蓮市,國威里,金三角商圈,是,否,149,12,74,49.66,486562000,3265516,麵店、小吃店,2085461.75
2015,花蓮縣,花蓮市,民主里,金三角與東大門核心交會區,是,是,159,72,13,8.18,138205000,869213,餐食攤販,426382.93
2015,花蓮縣,花蓮市,民族里,金三角與東大門核心交會區,是,是,81,6,35,43.21,394369350,4868757,旅館,1173313.28
2015,花蓮縣,花蓮市,民生里,金三角與東大門核心交會區,是,是,205,16,74,36.1,344850000,1682195,服裝零售,1924156.71
2016,花蓮縣,花蓮市,主力里,金三角商圈,是,否,187,9,110,58.82,408437000,2184155,美髮院及髮廊,2695172.93
2016,花蓮縣,花蓮市,主勤里,金三角商圈,是,否,84,6,41,48.81,82559000,982845,未分類其他服飾品零售,924146.64
2016,花蓮縣,花蓮市,主商里,金三角與東大門核心交會區,是,是,95,1,45,47.37,1114099000,11727357,金（銀）飾零售,2195571.22
2016,花蓮縣,花蓮市,主學里,金三角商圈,是,否,103,9,46,44.66,160587000,1559097,麵店、小吃店,1115283.83
2016,花蓮縣,花蓮市,主安里,金三角商圈,是,否,98,9,48,48.98,264809000,2702132,其他美容美體服務,1276004.71
2016,花蓮縣,花蓮市,主工里,金三角與東大門核心交會區,是,是,85,7,39,45.88,242998000,2858800,麵店、小吃店,1068886.38
2016,花蓮縣,花蓮市,主計里,金三角商圈,是,否,69,4,25,36.23,173431000,2513492,水產品零售,705569.53
2016,花蓮縣,花蓮市,國威里,金三角商圈,是,否,159,10,79,49.69,491328000,3090113,麵店、小吃店,2164142.83
