年份,縣市,鄉鎮市區,里別,商圈分類,是否為金三角商圈,是否為東大門周邊,有效營利事業累計家數,該年新設立營利事業家數,開立統一發票店家數,發票店家佔比(%),登記資本總額(元),平均資本額(元),代表行業類別,推估年度銷售額(千元)
2015,花蓮縣,花蓮市,主信里,一般住宅/非核心商業區,否,否,57,4,29,50.88,112172000,1967929,麵店、小吃店,727913.41
2015,花蓮縣,花蓮市,主力里,金三角商圈,是,否,178,13,105,58.99,403058000,2264370,居家修繕用品零售,2632040.43
2015,花蓮縣,花蓮市,主勤里,金三角商圈,是,否,78,5,39,50.0,80257000,1028935,未分類其他服飾品零售,898562.6
2015,花蓮縣,花蓮市,主和里,一般住宅/非核心商業區,否,否,120,5,62,51.67,204926500,1707720,麵店、小吃店,1516515.36
2015,花蓮縣,花蓮市,主商里,金三角與東大門核心交會區,是,是,94,2,44,46.81,1113851000,11849478,金（銀）飾零售,2178549.21
2015,花蓮縣,花蓮市,主學里,金三角商圈,是,否,94,2,42,44.68,156046000,1660063,麵店、小吃店,1046923.18
2015,花蓮縣,花蓮市,主安里,金三角商圈,是,否,89,7,43,48.31,261739000,2940887,麵店、小吃店,1187926.92
2015,花蓮縣,花蓮市,主工里,金三角與東大門核心交會區,是,是,78,2,38,48.72,217313000,2786064,麵店、小吃店,1033870.23
2015,花蓮縣,花蓮市,主權里,一般住宅/非核心商業區,否,否,198,9,108,54.55,354832000,1792080,麵店、小吃店,2639239.75
2015,花蓮縣,花蓮市,主睦里,一般住宅/非核心商業區,否,否,76,4,31,40.79,143389000,1886697,未分類其他家用器具及用品零售,804841.81
2015,花蓮縣,花蓮市,主義里,一般住宅/非核心商業區,否,否,24,2,8,33.33,6616000,275666,梭織服裝訂製,173112.12
2015,花蓮縣,花蓮市,主計里,金三角商圈,是,否,65,5,25,38.46,173241000,2665246,水產品零售,714635.08
2015,花蓮縣,花蓮市,主農里,一般住宅/非核心商業區,否,否,124,10,65,52.42,180151900,1452837,麵店、小吃店,1550408.46
2015,花蓮縣,花蓮市,國光里,一般住宅/非核心商業區,否,否,73,6,32,43.84,69630000,953835,民宿,741582.59
2015,花蓮縣,花蓮市,國威里,金三角商圈,是,否,149,12,74,49.66,486562000,3265516,麵店、小吃店,2085461.75
2015,花蓮縣,花蓮市,國安里,一般住宅/非核心商業區,否,否,84,3,46,54.76,203486000,2422452,麵店、小吃店,1183712.91
2015,花蓮縣,花蓮市,國富里,一般住宅/非核心商業區,否,否,270,14,132,48.89,355281900,1315858,麵店、小吃店,3136496.04
2015,花蓮縣,花蓮市,國強里,一般住宅/非核心商業區,否,否,55,3,40,72.73,188964000,3435709,其他汽車維修,1042997.05
2015,花蓮縣,花蓮市,國慶里,一般住宅/非核心商業區,否,否,89,9,58,65.17,2551078745,28663806,汽車零件、汽車百貨零售,4104254.86
2015,花蓮縣,花蓮市,國治里,一般住宅/非核心商業區,否,否,100,6,46,46.0,96588400,965884,麵店、小吃店,1062035.69
2015,花蓮縣,花蓮市,國盛里,一般住宅/非核心商業區,否,否,154,5,84,54.55,399692000,2595402,計程車客運,2193557.89
2015,花蓮縣,花蓮市,國福里,一般住宅/非核心商業區,否,否,27,3,16,59.26,18630000,690000,未分類其他家用器具及用品零售,352368.57
2015,花蓮縣,花蓮市,國聯里,一般住宅/非核心商業區,否,否,288,23,180,62.5,2093911840,7270527,旅館,6108996.54
2015,花蓮縣,花蓮市,國興里,一般住宅/非核心商業區,否,否,125,11,61,48.8,234708800,1877670,麵店、小吃店,1529717.67
2015,花蓮縣,花蓮市,國華里,一般住宅/非核心商業區,否,否,88,7,42,47.73,177422606,2016165,麵店、小吃店,1071255.3
2015,花蓮縣,花蓮市,國裕里,一般住宅/非核心商業區,否,否,238,11,156,65.55,1429368190,6005748,未分類其他土木工程,4855829.2
2015,花蓮縣,花蓮市,國防里,一般住宅/非核心商業區,否,否,38,0,19,50.0,96596000,2542000,未分類其他土木工程,503207.13
2015,花蓮縣,花蓮市,國風里,一般住宅/非核心商業區,否,否,151,10,89,58.94,263415800,1744475,餐廳,2141928.57
2015,花蓮縣,花蓮市,國魂里,一般住宅/非核心商業區,否,否,111,9,62,55.86,864766300,7790687,麵店、小吃店,2267584.31
2015,花蓮縣,花蓮市,市區其他未標示里,一般住宅/非核心商業區,否,否,108,2,6,5.56,28987290,268400,農產品（家畜及家禽肉品）批發市場承銷,157181.11
2015,花蓮縣,花蓮市,民主里,金三角與東大門核心交會區,是,是,159,72,13,8.18,138205000,869213,餐食攤販,426382.93
2015,花蓮縣,花蓮市,民享里,一般住宅/非核心商業區,否,否,78,3,47,60.26,199411000,2556551,民宿,1199772.17
2015,花蓮縣,花蓮市,民勤里,一般住宅/非核心商業區,否,否,90,4,43,47.78,206698000,2296644,麵店、小吃店,1125275.97
2015,花蓮縣,花蓮市,民孝里,一般住宅/非核心商業區,否,否,139,6,63,45.32,630096500,4533068,水產品零售,2021166.85
2015,花蓮縣,花蓮市,民德里,一般住宅/非核心商業區,否,否,48,0,27,56.25,148046000,3084291,麵店、小吃店,727351.98
2015,花蓮縣,花蓮市,民心里,一般住宅/非核心商業區,否,否,168,2,157,93.45,2488445500,14812175,石材家具及其製品製造,6082031.73
2015,花蓮縣,花蓮市,民意里,一般住宅/非核心商業區,否,否,48,3,27,56.25,321634000,6700708,麵店、小吃店,924940.18
2015,花蓮縣,花蓮市,民政里,一般住宅/非核心商業區,否,否,90,10,47,52.22,252856848,2809520,不動產投資開發,1260607.42
2015,花蓮縣,花蓮市,民族里,金三角與東大門核心交會區,是,是,81,6,35,43.21,394369350,4868757,旅館,1173313.28
2015,花蓮縣,花蓮市,民有里,一般住宅/非核心商業區,否,否,8,0,2,25.0,1165000,145625,民宿,42721.42
2015,花蓮縣,花蓮市,民樂里,一般住宅/非核心商業區,否,否,11,0,6,54.55,31497000,2863363,冷凍、通風、空調系統裝修工程,160037.81
2015,花蓮縣,花蓮市,民權里,一般住宅/非核心商業區,否,否,13,0,7,53.85,25694000,1976461,其他殯葬及寵物生命紀念相關服務,174130.16
2015,花蓮縣,花蓮市,民治里,一般住宅/非核心商業區,否,否,2,0,0,0.0,70000,35000,畜肉零售,79.68
2015,花蓮縣,花蓮市,民生里,金三角與東大門核心交會區,是,是,205,16,74,36.1,344850000,1682195,服裝零售,1924156.71
2015,花蓮縣,花蓮市,民立里,一般住宅/非核心商業區,否,否,48,4,33,68.75,246510140,5135627,醫療耗材零售,963615.78
2015,花蓮縣,花蓮市,民運里,一般住宅/非核心商業區,否,否,116,7,45,38.79,369261000,3183284,麵店、小吃店,1351710.21
2016,花蓮縣,花蓮市,主信里,一般住宅/非核心商業區,否,否,61,4,31,50.82,122525000,2008606,麵店、小吃店,768112.62
2016,花蓮縣,花蓮市,主力里,金三角商圈,是,否,187,9,110,58.82,408437000,2184155,美髮院及髮廊,2695172.93
2016,花蓮縣,花蓮市,主勤里,金三角商圈,是,否,84,6,41,48.81,82559000,982845,未分類其他服飾品零售,924146.64
2016,花蓮縣,花蓮市,主和里,一般住宅/非核心商業區,否,否,123,3,64,52.03,205706500,1672410,麵店、小吃店,1531248.84
2016,花蓮縣,花蓮市,主商里,金三角與東大門核心交會區,是,是,95,1,45,47.37,1114099000,11727357,金（銀）飾零售,2195571.22
