年份,縣市,鄉鎮市區,里別,是否為金三角商圈,是否為東大門/歷史夜市周邊,存續營利事業累積家數,該年新設家數,開立發票店家數,登記資本總額(元),平均資本額(元),申報體系推估銷售額(千元),夜市與觀光實質現金金流增額(千元),綜合推估實質商圈消費總額(千元)
1995,花蓮縣,花蓮市,主信里,否,否,28,1,11,75236000,2687000,458393.88,0.0,458393.88
1995,花蓮縣,花蓮市,主力里,是,否,62,3,39,178714000,2882483,1546377.01,0.0,1546377.01
1995,花蓮縣,花蓮市,主勤里,是,否,30,1,14,62898000,2096600,553985.1,0.0,553985.1
1995,花蓮縣,花蓮市,主和里,否,否,31,0,14,52378000,1689612,544563.82,0.0,544563.82
1995,花蓮縣,花蓮市,主商里,是,是,32,0,19,1041368000,32542750,1607996.82,18000.0,1625996.82
1995,花蓮縣,花蓮市,主學里,是,否,22,0,10,17016000,773454,370707.58,0.0,370707.58
1995,花蓮縣,花蓮市,主安里,是,否,25,2,11,124462000,4978480,502478.66,0.0,502478.66
1995,花蓮縣,花蓮市,主工里,是,是,20,2,9,8411000,420550,327454.42,0.0,327454.42
1995,花蓮縣,花蓮市,主權里,否,否,48,6,28,116095000,2418645,1099282.39,0.0,1099282.39
1995,花蓮縣,花蓮市,主睦里,否,否,29,2,8,65362000,2253862,342910.51,0.0,342910.51
1995,花蓮縣,花蓮市,主義里,否,否,13,1,3,4507000,346692,110676.91,0.0,110676.91
1995,花蓮縣,花蓮市,主計里,是,否,15,2,3,37521000,2501400,140242.88,0.0,140242.88
1995,花蓮縣,花蓮市,主農里,否,否,30,0,13,24614000,820466,484152.66,0.0,484152.66
1995,花蓮縣,花蓮市,國光里,否,否,29,1,12,35278000,1216482,458156.02,0.0,458156.02
1995,花蓮縣,花蓮市,國威里,是,否,39,6,22,354416000,9087589,1099431.59,0.0,1099431.59
1995,花蓮縣,花蓮市,國安里,否,否,22,1,8,37039000,1683590,317545.6,0.0,317545.6
1995,花蓮縣,花蓮市,國富里,否,否,59,2,32,67148900,1138116,1197635.78,0.0,1197635.78
1995,花蓮縣,花蓮市,國強里,否,否,17,1,11,38415000,2259705,425418.51,0.0,425418.51
1995,花蓮縣,花蓮市,國慶里,否,否,15,1,10,2490525745,166035049,2585880.81,0.0,2585880.81
1995,花蓮縣,花蓮市,國治里,否,否,21,1,8,22693400,1080638,304698.27,0.0,304698.27
1995,花蓮縣,花蓮市,國盛里,否,否,32,2,15,77325000,2416406,602452.2,0.0,602452.2
1995,花蓮縣,花蓮市,國福里,否,否,6,0,4,11208000,1868000,152224.92,0.0,152224.92
1995,花蓮縣,花蓮市,國聯里,否,否,84,2,47,1496092840,17810629,3010542.12,0.0,3010542.12
1995,花蓮縣,花蓮市,國興里,否,否,12,1,7,145399000,12116583,379041.47,0.0,379041.47
1995,花蓮縣,花蓮市,國華里,否,否,29,5,15,41593000,1434241,570452.1,0.0,570452.1
1995,花蓮縣,花蓮市,國裕里,否,否,51,6,31,752445410,14753831,1775812.18,0.0,1775812.18
1995,花蓮縣,花蓮市,國防里,否,否,8,1,5,13486000,1685750,189811.88,0.0,189811.88
1995,花蓮縣,花蓮市,國風里,否,否,38,1,22,91255000,2401447,863755.46,0.0,863755.46
1995,花蓮縣,花蓮市,國魂里,否,否,22,2,15,783314300,35605195,1234707.08,0.0,1234707.08
1995,花蓮縣,花蓮市,市區其他未標示里,否,否,56,1,0,240290,4290,215.19,0.0,215.19
1995,花蓮縣,花蓮市,民主里,是,是,14,0,1,104981000,7498642,129563.53,54000.0,183563.53
1995,花蓮縣,花蓮市,民享里,否,否,19,0,10,68824000,3622315,417104.68,0.0,417104.68
1995,花蓮縣,花蓮市,民勤里,否,否,16,2,9,53351000,3334437,367700.83,0.0,367700.83
