統一編號,總機構統一編號,營業人名稱,營業地址,縣市,鄉鎮市區,里別,商圈分類,是否為金三角商圈,是否為東大門周邊,資本額,設立年份,組織別名稱,使用統一發票,是否開立發票,主要行業代號,主要行業名稱
42078211,80304384,日月亭股份有限公司節約街營業所,花蓮縣花蓮市三民街３８巷１０號後面空地停車場,花蓮縣,花蓮市,主商里,金三角與東大門核心交會商圈,是,是,0.0,2015,其他,Y,1,524100,停車場管理
94720951,,攤販,花蓮縣花蓮市上美崙基泰市場７號攤位,花蓮縣,花蓮市,民立里,花蓮市一般行政區,否,否,1000.0,1973,獨資,N,0,472311,水產品零售
61376995,,攤販－王允仕,花蓮縣花蓮市中原路４３６號騎樓前,花蓮縣,花蓮市,主權里,花蓮市一般行政區,否,否,10000.0,2026,獨資,N,0,561200,餐食攤販
60277498,86711789,國雲公寓大廈管理維護股份有限公司花蓮中央場,花蓮縣花蓮市中央路三段８４４號,花蓮縣,花蓮市,國興里,花蓮市一般行政區,否,否,0.0,2025,其他,Y,1,524100,停車場管理
60205256,52492792,悠勢科技股份有限公司安盛中央停車場,花蓮縣花蓮市中央路三段８４４號旁,花蓮縣,花蓮市,國興里,花蓮市一般行政區,否,否,0.0,2025,其他,Y,1,524100,停車場管理
31532299,80118614,成佳財企業有限公司花蓮分店,花蓮縣花蓮市中央路３段７０７號停車場,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,0.0,2011,其他,Y,1,524100,停車場管理
70961347,,攤販－文建檳榔,花蓮縣花蓮市中央路４段４２６號,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,3000.0,1999,獨資,N,0,472936,檳榔零售
64805469,,長隆商號,花蓮縣花蓮市中山市場８號,花蓮縣,花蓮市,主商里,金三角與東大門核心交會商圈,是,是,5000.0,1988,獨資,N,0,472211,畜肉零售
08145768,,創健商號,花蓮縣花蓮市中山路零售市場攤位１４號,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,5000.0,1987,獨資,N,0,454214,農產品（家畜及家禽肉品）批發市場承銷
26778321,,崧園小吃,花蓮縣花蓮市中山路１段２０５－１號,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,3000.0,2011,獨資,N,0,561113,麵店、小吃店
95221799,27856324,全國專業開發管理股份有限公司花蓮停車場,花蓮縣花蓮市中山路３０３及３０５號房地,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,0.0,2024,其他,Y,1,524100,停車場管理
60205093,52492792,悠勢科技股份有限公司安盛中山停車場,花蓮縣花蓮市中山路４１２巷１８號旁,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,0.0,2025,其他,Y,1,524100,停車場管理
92655878,28858068,台灣普客二四股份有限公司花蓮延平街停車場,花蓮縣花蓮市中山路４７５－９號旁,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,0.0,2023,其他,Y,1,524100,停車場管理
94745313,,信志猪肉商號,花蓮縣花蓮市中山零售市場豬肉類第４７號攤位,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,3000.0,1978,獨資,N,0,454214,農產品（家畜及家禽肉品）批發市場承銷
08132004,,政發商號,花蓮縣花蓮市中山零售市塲猪肉攤１號,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,5000.0,1986,獨資,N,0,454214,農產品（家畜及家禽肉品）批發市場承銷
93000547,,嫺媽雞蛋糕,花蓮縣花蓮市中正路２１０號前（中正國小前）,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,10000.0,2023,獨資,N,0,561200,餐食攤販
45118665,,全莉精品服飾有限公司,花蓮縣花蓮市中正路５２８號,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,600000.0,2016,有限公司,Y,1,473211,服裝零售
62078256,22555003,統一超商股份有限公司花蓮縣第一二○分公司,花蓮縣花蓮市中正路５４３號,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,0.0,2026,本國公司設立之分公司,Y,1,471112,直營連鎖式便利商店
85288460,80738683,台灣國際開發事業有限公司花蓮醫院停車場,花蓮縣花蓮市中正路６００號２樓,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,0.0,2019,其他,Y,1,524100,停車場管理
15781313,,攤販－張秀美０９３３４８２８１７,花蓮縣花蓮市中美一街旁,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,3000.0,2002,獨資,N,0,959916,衣服修改
60323985,,元廣勝工程有限公司,花蓮縣花蓮市中美七街１３１號１樓,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,2000000.0,2026,有限公司,Y,1,434013,房屋設備安裝工程
60097361,16766579,誼光國際公寓大廈管理維護股份有限公司叭叭房花蓮中美停車場,花蓮縣花蓮市中美二街４－１號旁空地,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,0.0,2024,其他,Y,1,524100,停車場管理
00053369,,尾川房屋仲介有限公司,花蓮縣花蓮市中美路２４６號１樓,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,1500000.0,2024,有限公司,Y,1,681211,不動產仲介
70960918,,攤販－莊秀蘭,花蓮縣花蓮市中美路２８１號門前,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,3000.0,1999,獨資,N,0,472936,檳榔零售
60396728,,海光映所有限公司,花蓮縣花蓮市中美路９３巷２號６樓之２,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,1600000.0,2026,有限公司,Y,1,760199,其他攝影
95209681,,女仕女事工坊,花蓮縣花蓮市中華路１４４號,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,10000.0,2025,獨資,N,0,474399,其他家飾品零售
87515510,,小白米蛋糕,花蓮縣花蓮市中華路１４４號旁,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,3000.0,2020,獨資,N,0,486111,食品零售攤販
92777160,,拉坯空間工作室,花蓮縣花蓮市中華路１４４號旁,花蓮縣,花蓮市,市區其他未標示里,花蓮市一般行政區,否,否,50000.0,2023,獨資,N,0,486999,未分類其他零售攤販
