年份,縣市,鄉鎮市區,里別,實體街區真實消費產值(百萬元),台電低壓營業用電量指數,電信人潮與停留時長指數,店面空置與業態降級率(%),地表真實街景狀態
1995,花蓮縣,花蓮市,主信里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,主力里,650.0,100.0,80.0,2.5,金三角全盛初期，中山/中正路店面一位難求
1995,花蓮縣,花蓮市,主勤里,320.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,主和里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,主商里,650.0,100.0,80.0,2.5,金三角全盛初期，中山/中正路店面一位難求
1995,花蓮縣,花蓮市,主學里,320.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,主安里,320.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,主工里,650.0,100.0,80.0,2.5,金三角全盛初期，中山/中正路店面一位難求
1995,花蓮縣,花蓮市,主權里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,主睦里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,主義里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,主計里,320.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,主農里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,國光里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,國威里,650.0,100.0,80.0,2.5,金三角全盛初期，中山/中正路店面一位難求
1995,花蓮縣,花蓮市,國安里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,國富里,250.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,國強里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,國慶里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,國治里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,國盛里,250.0,80.0,30.0,5.0,花蓮市區一般住商混合區
1995,花蓮縣,花蓮市,國福里,120.0,80.0,30.0,5.0,花蓮市區一般住商混合區
