年份,歷史夜市/場域名稱,營運攤位數(估),年度估計到訪人次(萬),平均每人消費額(元),實質觀光產值(新台幣元),實質觀光產值(億元),納稅型態說明
1995,南濱夜市 & 溝仔尾商圈,250,120,150,180000000,1.8,多數屬小規模營業人免用統一發票(按季查定課徵1%)，申報帳面值約為實質金流之20-30%
2000,南濱夜市 & 自強夜市興起,320,180,180,324000000,3.24,多數屬小規模營業人免用統一發票(按季查定課徵1%)，申報帳面值約為實質金流之20-30%
2005,南濱夜市 & 自強夜市全盛期,380,240,220,528000000,5.28,多數屬小規模營業人免用統一發票(按季查定課徵1%)，申報帳面值約為實質金流之20-30%
2010,南濱夜市 & 自強夜市,400,290,260,754000000,7.54,多數屬小規模營業人免用統一發票(按季查定課徵1%)，申報帳面值約為實質金流之20-30%
2014,南濱拆遷轉型過渡期,380,260,280,728000000,7.28,多數屬小規模營業人免用統一發票(按季查定課徵1%)，申報帳面值約為實質金流之20-30%
2015,東大門國際觀光夜市正式啟用,400,320,320,1024000000,10.24,多數屬小規模營業人免用統一發票(按季查定課徵1%)，申報帳面值約為實質金流之20-30%
2018,東大門夜市 (五星優良市集),420,380,380,1444000000,14.44,多數屬小規模營業人免用統一發票(按季查定課徵1%)，申報帳面值約為實質金流之20-30%
2019,東大門夜市 (全台夜市券冠軍),430,420,420,1764000000,17.64,多數屬小規模營業人免用統一發票(按季查定課徵1%)，申報帳面值約為實質金流之20-30%
2020,東大門夜市 (疫情波及與國旅振興),410,330,400,1320000000,13.2,多數屬小規模營業人免用統一發票(按季查定課徵1%)，申報帳面值約為實質金流之20-30%
2023,東大門夜市 (疫情後全面復甦),430,450,480,2160000000,21.6,多數屬小規模營業人免用統一發票(按季查定課徵1%)，申報帳面值約為實質金流之20-30%
2024,東大門夜市 (0403震後振興),420,290,460,1334000000,13.34,多數屬小規模營業人免用統一發票(按季查定課徵1%)，申報帳面值約為實質金流之20-30%
2025,東大門夜市 (觀光回溫高點),420,390,500,1950000000,19.5,多數屬小規模營業人免用統一發票(按季查定課徵1%)，申報帳面值約為實質金流之20-30%
2026,東大門夜市 (最新統計推估),420,410,520,2132000000,21.32,多數屬小規模營業人免用統一發票(按季查定課徵1%)，申報帳面值約為實質金流之20-30%
