年份,縣市,鄉鎮市區,里別,實體獨立門牌數,實體街區真實消費產值(百萬元),台電低壓營業用電量指數,電信人潮與停留時長指數,店面空置與業態降級率(%),地表真實街景狀態,存續營利事業累積家數,該年新設家數,開立發票店家數,登記資本總額(元),登記資本總額(萬元),平均資本額(元),申報體系推估銷售額(千元)
1995,花蓮縣,花蓮市,主信里,27,25.2,77.2,32.7,4.4,主信里常民生活與社區商業,28,1,11,75236000,7523.6,2687000,249918.9
1995,花蓮縣,花蓮市,主力里,62,356.0,100.0,90.0,2.5,金三角全盛初期，中正/中山路一線店面一位難求,62,3,39,178714000,17871.4,2882483,737397.1
1995,花蓮縣,花蓮市,主勤里,29,29.5,77.4,32.9,4.8,主勤里常民生活與社區商業,30,1,14,62898000,6289.8,2096600,294031.8
1995,花蓮縣,花蓮市,主和里,31,30.5,77.6,33.1,4.4,主和里常民生活與社區商業,31,0,14,52378000,5237.8,1689612,296990.2
1995,花蓮縣,花蓮市,主商里,32,177.8,100.0,90.0,2.5,金三角全盛初期，中正/中山路一線店面一位難求,32,0,19,1041368000,104136.8,32542750,442409.4
1995,花蓮縣,花蓮市,主學里,22,21.7,76.8,32.2,7.2,主學里常民生活與社區商業,22,0,10,17016000,1701.6,773454,209961.3
1995,花蓮縣,花蓮市,主安里,23,23.3,76.9,32.3,6.0,主安里常民生活與社區商業,25,2,11,124462000,12446.2,4978480,242457.0
1995,花蓮縣,花蓮市,主工里,20,95.9,100.0,90.0,2.5,金三角全盛初期，中正/中山路一線店面一位難求,20,2,9,8411000,841.1,420550,189172.9
1995,花蓮縣,花蓮市,主權里,48,54.0,79.0,34.8,6.8,主權里常民生活與社區商業,48,6,28,116095000,11609.5,2418645,541687.6
1995,花蓮縣,花蓮市,主睦里,29,23.0,77.4,32.9,4.8,主睦里常民生活與社區商業,29,2,8,65362000,6536.2,2253862,215429.0
1995,花蓮縣,花蓮市,主義里,12,20.0,76.0,31.2,4.0,主義里常民生活與社區商業,13,1,3,4507000,450.7,346692,87260.6
1995,花蓮縣,花蓮市,主計里,15,20.0,76.2,31.5,4.4,主計里常民生活與社區商業,15,2,3,37521000,3752.1,2501400,97501.7
1995,花蓮縣,花蓮市,主農里,30,28.9,77.5,33.0,4.8,主農里常民生活與社區商業,30,0,13,24614000,2461.4,820466,278469.1
1995,花蓮縣,花蓮市,國光里,29,27.3,77.4,32.9,4.4,國光里常民生活與社區商業,29,1,12,35278000,3527.8,1216482,263022.2
1995,花蓮縣,花蓮市,國威里,38,208.1,100.0,90.0,2.5,金三角全盛初期，中正/中山路一線店面一位難求,39,6,22,354416000,35441.6,9087589,451553.3
1995,花蓮縣,花蓮市,國安里,21,20.0,76.8,32.1,4.8,國安里常民生活與社區商業,22,1,8,37039000,3703.9,1683590,186563.1
1995,花蓮縣,花蓮市,國富里,56,62.3,79.7,35.6,5.2,國富里常民生活與社區商業,59,2,32,67148900,6714.9,1138116,629571.9
1995,花蓮縣,花蓮市,國強里,15,20.0,76.2,31.5,4.8,國強里常民生活與社區商業,17,1,11,38415000,3841.5,2259705,205173.2
1995,花蓮縣,花蓮市,國慶里,15,20.0,76.2,31.5,4.4,國慶里常民生活與社區商業,15,1,10,2490525745,249052.6,166035049,381242.1
1995,花蓮縣,花蓮市,國治里,21,20.0,76.8,32.1,5.6,國治里常民生活與社區商業,21,1,8,22693400,2269.3,1080638,181615.5
1995,花蓮縣,花蓮市,國盛里,24,28.1,77.0,32.4,8.4,國盛里常民生活與社區商業,32,2,15,77325000,7732.5,2416406,315286.0
1995,花蓮縣,花蓮市,國福里,6,20.0,75.5,30.6,4.4,國福里常民生活與社區商業,6,0,4,11208000,1120.8,1868000,73696.6
